Testname,Listener,Trial,Condition,Ratingscore
SiSEC08,Listener_18,male_inst_sim_3,Algo27,47
SiSEC08,Listener_18,male_inst_sim_3,Algo30,45
SiSEC08,Listener_18,male_inst_sim_3,Algo32,28
SiSEC08,Listener_18,male_inst_sim_3,Algo34,41
SiSEC08,Listener_18,male_inst_sim_3,anchor,0
SiSEC08,Listener_18,male_inst_sim_4,orig,100
SiSEC08,Listener_18,male_inst_sim_4,Algo8,47
SiSEC08,Listener_18,male_inst_sim_4,Algo21,47
SiSEC08,Listener_18,male_inst_sim_4,Algo22,50
SiSEC08,Listener_18,male_inst_sim_4,Algo24,49
SiSEC08,Listener_18,male_inst_sim_4,Algo25,44
SiSEC08,Listener_18,male_inst_sim_4,Algo27,47
SiSEC08,Listener_18,male_inst_sim_4,Algo30,47
SiSEC08,Listener_18,male_inst_sim_4,Algo32,26
SiSEC08,Listener_18,male_inst_sim_4,Algo34,38
SiSEC08,Listener_18,male_inst_sim_4,anchor,0
SiSEC08,Listener_18,nodrums_inst_sim_1,orig,100
SiSEC08,Listener_18,nodrums_inst_sim_1,Algo8,41
SiSEC08,Listener_18,nodrums_inst_sim_1,Algo21,38
SiSEC08,Listener_18,nodrums_inst_sim_1,Algo22,71
SiSEC08,Listener_18,nodrums_inst_sim_1,Algo24,42
SiSEC08,Listener_18,nodrums_inst_sim_1,Algo25,49
SiSEC08,Listener_18,nodrums_inst_sim_1,Algo27,36
SiSEC08,Listener_18,nodrums_inst_sim_1,Algo30,47
SiSEC08,Listener_18,nodrums_inst_sim_1,Algo32,29
SiSEC08,Listener_18,nodrums_inst_sim_1,Algo34,9
SiSEC08,Listener_18,nodrums_inst_sim_1,anchor,0
SiSEC08,Listener_18,nodrums_inst_sim_2,orig,100
SiSEC08,Listener_18,nodrums_inst_sim_2,Algo8,47
SiSEC08,Listener_18,nodrums_inst_sim_2,Algo21,30
SiSEC08,Listener_18,nodrums_inst_sim_2,Algo22,51
SiSEC08,Listener_18,nodrums_inst_sim_2,Algo24,40
SiSEC08,Listener_18,nodrums_inst_sim_2,Algo25,39
SiSEC08,Listener_18,nodrums_inst_sim_2,Algo27,47
SiSEC08,Listener_18,nodrums_inst_sim_2,Algo30,43
SiSEC08,Listener_18,nodrums_inst_sim_2,Algo32,9
